,year,rank,song,singer,urls,top_predicted_genre,second_predicted_genre,display_genre
1548,2003,49,Headstrong,Trapt,https://www.youtube.com/watch?v=HTvu1Yr3Ohk,Experimental,Electronic,Electronic
1528,2003,29,Rock wit U (Awww Baby),Ashanti,https://www.youtube.com/watch?v=o4_DFoOtvfA,Experimental,Hip-Hop,Hip-Hop
1545,2003,46,Damn!,"YoungBloodZ,Lil Jon,",https://www.youtube.com/watch?v=-ro8eaplsV8,Hip-Hop,Electronic,Hip-Hop
1513,2003,14,21 Questions,"50 Cent,Nate Dogg,",https://www.youtube.com/watch?v=cDMhlvbOFaM,Experimental,Jazz,Jazz
1516,2003,17,I Know What You Want,"Busta Rhymes,Mariah Carey,",https://www.youtube.com/watch?v=WDaNJW_jEBo,Jazz,Hip-Hop,Jazz
1526,2003,27,The Game of Love,"Santana,Michelle Branch,",https://www.youtube.com/watch?v=HKLnmMacEB4,Experimental,Jazz,Jazz
1530,2003,31,How You Gonna Act Like That,Tyrese,https://www.youtube.com/watch?v=y3HbIHGnSR4,Experimental,Jazz,Jazz
1537,2003,38,Don't Mess with My Man,"Nivea,Jagged Edge,",https://www.youtube.com/watch?v=zjCBO_2csIE,Experimental,Jazz,Jazz
1546,2003,47,This Is the Night,Clay Aiken,https://www.youtube.com/watch?v=Xi9G5-JNlnw,Experimental,Jazz,Jazz
1504,2003,5,When I'm Gone,3 Doors Down,https://www.youtube.com/watch?v=pFq1eT9tMJ4,Pop,Experimental,Pop
1505,2003,6,Unwell,Matchbox Twenty,https://www.youtube.com/watch?v=WziA88-n02k,Experimental,Pop,Pop
1509,2003,10,Bring Me to Life,"Evanescence,Paul McCoy,",https://www.youtube.com/watch?v=3YxaaGgTQYM,Experimental,Pop,Pop
1514,2003,15,All I Have,"Jennifer Lopez,LL Cool J,",https://www.youtube.com/watch?v=yeSJ2YdhG5k,Experimental,Pop,Pop
1517,2003,18,I'm with You,Avril Lavigne,https://www.youtube.com/watch?v=dGR65RWwzg8,Experimental,Pop,Pop
1525,2003,26,Where Is the Love?,Black Eyed Peas,https://www.youtube.com/watch?v=WpYeekQkAdc,Experimental,Pop,Pop
1549,2003,50,In Those Jeans,Ginuwine,https://www.youtube.com/watch?v=53JQz0ON--o,Experimental,Pop,Pop
1508,2003,9,Picture,"Kid Rock,Sheryl Crow,",https://www.youtube.com/watch?v=8XmUHnBlf48,Experimental,Rock,Rock
1511,2003,12,Baby Boy,"Beyoncé,Sean Paul,",https://www.youtube.com/watch?v=8ucz_pm3LX8,Experimental,Rock,Rock
1512,2003,13,Shake Ya Tailfeather,"Nelly,P. Diddy,Murphy Lee,",https://www.youtube.com/watch?v=bG7DBO0k5lA,Experimental,Rock,Rock
1527,2003,28,Lose Yourself,Eminem,https://www.youtube.com/watch?v=klUAGK9Z-dg,Experimental,Rock,Rock
1544,2003,45,Calling All Angels,Train,https://www.youtube.com/watch?v=TaG9SDxwPBg,Rock,Pop,Rock
1547,2003,48,Your Body Is a Wonderland,John Mayer,https://www.youtube.com/watch?v=N5EnGwXV_Pg,Experimental,Rock,Rock
1552,2004,3,If I Ain't Got You,Alicia Keys,https://www.youtube.com/watch?v=Ju8Hr50Ckwk,Classical,Experimental,Classical
1567,2004,18,Naughty Girl,Beyoncé,https://www.youtube.com/watch?v=RZuJ_OHBN78,Experimental,Classical,Classical
1573,2004,24,My Boo,"Usher,Alicia Keys,",https://www.youtube.com/watch?v=fPgf2meEX1w,Experimental,Classical,Classical
1550,2004,1,Yeah!,"Usher,Lil Jon,Ludacris,",https://www.youtube.com/watch?v=GxBSyx85Kp8,Experimental,Electronic,Electronic
1554,2004,5,The Way You Move,"OutKast,Sleepy Brown,",https://www.youtube.com/watch?v=xI5NQ-0Ubfs,Experimental,Electronic,Electronic
1555,2004,6,The Reason,Hoobastank,https://www.youtube.com/watch?v=fV4DiAyExN0,Experimental,Electronic,Electronic
1556,2004,7,I Don't Wanna Know,"Mario Winans,Enya,P. Diddy,",https://www.youtube.com/watch?v=KCHgxoXv4g4,Experimental,Electronic,Electronic
1557,2004,8,Hey Ya!,OutKast,https://www.youtube.com/watch?v=PWgvGjAhvIw,Experimental,Electronic,Electronic
1558,2004,9,Goodies,"Ciara,Petey Pablo,",https://www.youtube.com/watch?v=YtC92pzp5vw,Experimental,Electronic,Electronic
1561,2004,12,Confessions Part II,Usher,https://www.youtube.com/watch?v=5Sy19X0xxrM,Experimental,Electronic,Electronic
1562,2004,13,Slow Motion,"Juvenile,Soulja Slim,",https://www.youtube.com/watch?v=-0llNuv3L4k,Electronic,Experimental,Electronic
1563,2004,14,Freek-a-Leek,Petey Pablo,https://www.youtube.com/watch?v=M48nlk-1kH8,Electronic,Experimental,Electronic
1564,2004,15,Here Without You,3 Doors Down,https://www.youtube.com/watch?v=kPBzTxZQG5Q,Experimental,Electronic,Electronic
1569,2004,20,Sunshine,Lil' Flip,https://www.youtube.com/watch?v=pV9L70wzOvo,Experimental,Electronic,Electronic
1572,2004,23,Dip It Low,Christina Milian,https://www.youtube.com/watch?v=5z5Mvyp1QHw,Electronic,Experimental,Electronic
